"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2012","1469","","1000 tonnes"
"Albania","2011","1791","","1000 tonnes"
"Albania","2010","1396","","1000 tonnes"
"Albania","2009","1313","","1000 tonnes"
"Albania","2008","1218","","1000 tonnes"
"Albania","2007","1245","","1000 tonnes"
"Albania","2006","1229","","1000 tonnes"
"Albania","2005","1279","","1000 tonnes"
"Albania","2004","988","","1000 tonnes"
"Albania","2003","1057","","1000 tonnes"
"Algeria","2008","8700","1","1000 tonnes"
"Algeria","2003","8500","","1000 tonnes"
"Algeria","1995","5200","","1000 tonnes"
"Andorra","2015","42.0701141357422","","1000 tonnes"
"Andorra","2014","41.1419830322266","","1000 tonnes"
"Andorra","2013","41.6491088867188","","1000 tonnes"
"Andorra","2012","43.1399993896484","","1000 tonnes"
"Andorra","2011","44.7799987792969","","1000 tonnes"
"Andorra","2010","51.9700012207031","","1000 tonnes"
"Andorra","2009","47.9199981689453","","1000 tonnes"
"Andorra","2008","47.5800018310547","","1000 tonnes"
"Andorra","2007","45.7700004577637","","1000 tonnes"
"Andorra","2006","50.75","","1000 tonnes"
"Andorra","2005","49.5400009155273","","1000 tonnes"
"Andorra","2004","49.060001373291","","1000 tonnes"
"Andorra","2003","48.6800003051758","","1000 tonnes"
"Andorra","2002","48.0999984741211","","1000 tonnes"
"Andorra","2001","37.4000015258789","","1000 tonnes"
"Andorra","2000","48.9000015258789","","1000 tonnes"
"Andorra","1999","41.0999984741211","","1000 tonnes"
"Andorra","1998","40.2000007629395","","1000 tonnes"
"Angola","2006","5839.5","2","1000 tonnes"
"Anguilla","2008","14.6547002792358","","1000 tonnes"
"Anguilla","2007","12.3604049682617","","1000 tonnes"
"Anguilla","2006","10.4528512954712","","1000 tonnes"
"Anguilla","2005","8.01208877563477","3","1000 tonnes"
"Anguilla","2004","5.2732892036438","","1000 tonnes"
"Anguilla","2003","4.63972520828247","","1000 tonnes"
"Anguilla","2002","5.10496473312378","","1000 tonnes"
"Anguilla","2001","5.63463735580444","","1000 tonnes"
"Antigua and Barbuda","2015","95.8000030517578","4","1000 tonnes"
"Antigua and Barbuda","2014","138","4","1000 tonnes"
"Antigua and Barbuda","2013","132.699996948242","4","1000 tonnes"
"Antigua and Barbuda","2012","122.5","4","1000 tonnes"
"Antigua and Barbuda","2011","121.199996948242","4","1000 tonnes"
"Antigua and Barbuda","2010","136.600006103516","4","1000 tonnes"
"Antigua and Barbuda","2009","136.399993896484","4","1000 tonnes"
"Antigua and Barbuda","2008","121.699996948242","4","1000 tonnes"
"Antigua and Barbuda","2007","111.800003051758","4","1000 tonnes"
"Antigua and Barbuda","2006","90.9000015258789","4","1000 tonnes"
"Antigua and Barbuda","2005","84.0999984741211","4","1000 tonnes"
"Argentina","2012","5692.0361328125","5","1000 tonnes"
"Argentina","2011","49419.92578125","5","1000 tonnes"
"Argentina","2010","6125.505859375","5","1000 tonnes"
"Argentina","2009","5662.3427734375","5","1000 tonnes"
"Argentina","2008","5585.2099609375","5","1000 tonnes"
"Armenia","2012","408.100006103516","","1000 tonnes"
"Armenia","2011","395.5","","1000 tonnes"
"Armenia","2010","387.100006103516","","1000 tonnes"
"Armenia","2009","410.899993896484","","1000 tonnes"
"Armenia","2008","385.899993896484","","1000 tonnes"
"Armenia","2007","391.899993896484","","1000 tonnes"
"Armenia","2006","381","","1000 tonnes"
"Armenia","2005","374.600006103516","","1000 tonnes"
"Armenia","2004","377","","1000 tonnes"
"Armenia","2003","368.600006103516","","1000 tonnes"
"Armenia","2002","284.399993896484","","1000 tonnes"
"Armenia","2001","233.600006103516","","1000 tonnes"
"Armenia","2000","208.100006103516","","1000 tonnes"
"Armenia","1999","242.199996948242","","1000 tonnes"
"Armenia","1998","281.100006103516","","1000 tonnes"
"Armenia","1997","289.899993896484","","1000 tonnes"
"Armenia","1996","318.600006103516","","1000 tonnes"
"Armenia","1995","342.600006103516","","1000 tonnes"
"Armenia","1990","712.700012207031","","1000 tonnes"
"Australia","2011","14037","","1000 tonnes"
"Australia","2009","14035","","1000 tonnes"
"Australia","2000","13200","6","1000 tonnes"
"Australia","1992","12000","6","1000 tonnes"
"Austria","2014","4832.5","","1000 tonnes"
"Austria","2013","4905.2001953125","","1000 tonnes"
"Austria","2012","4883.2998046875","","1000 tonnes"
"Austria","2011","4806.89990234375","","1000 tonnes"
"Austria","2010","4700.7998046875","","1000 tonnes"
"Austria","2009","4921","","1000 tonnes"
"Austria","2008","4996.89990234375","","1000 tonnes"
"Austria","2007","4951.10009765625","","1000 tonnes"
"Austria","2006","4932.5","","1000 tonnes"
"Austria","2005","4731.7001953125","","1000 tonnes"
"Austria","2004","4686.7001953125","","1000 tonnes"
"Austria","2003","4607","","1000 tonnes"
"Austria","2002","4589","","1000 tonnes"
"Austria","2001","4309","","1000 tonnes"
"Austria","2000","4321","","1000 tonnes"
"Austria","1999","4171","","1000 tonnes"
"Austria","1998","3983","","1000 tonnes"
"Austria","1997","3977","","1000 tonnes"
"Austria","1996","3845","","1000 tonnes"
"Austria","1995","3476","","1000 tonnes"
"Austria","1994","3400","","1000 tonnes"
"Austria","1993","3341","","1000 tonnes"
"Austria","1992","3176","","1000 tonnes"
"Austria","1991","3126","","1000 tonnes"
"Austria","1990","3204","","1000 tonnes"
"Azerbaijan","2012","1647","","1000 tonnes"
"Azerbaijan","2011","1781","","1000 tonnes"
"Azerbaijan","2010","1609","","1000 tonnes"
"Azerbaijan","2009","1603","","1000 tonnes"
"Azerbaijan","2008","1478","","1000 tonnes"
"Azerbaijan","2007","1631","","1000 tonnes"
"Azerbaijan","2006","1573","","1000 tonnes"
"Azerbaijan","2005","1753","","1000 tonnes"
"Azerbaijan","2004","1784","","1000 tonnes"
"Azerbaijan","2003","1889","","1000 tonnes"
"Azerbaijan","2002","1854","","1000 tonnes"
"Azerbaijan","2001","1268","","1000 tonnes"
"Azerbaijan","2000","1104","","1000 tonnes"
"Bahamas","2006","227.167999267578","","1000 tonnes"
"Bahamas","2005","239.945999145508","","1000 tonnes"
"Bahamas","2004","168.861999511719","","1000 tonnes"
"Belarus","2012","3639.60009765625","","1000 tonnes"
"Belarus","2011","3623.19995117188","","1000 tonnes"
"Belarus","2010","3765.10009765625","","1000 tonnes"
"Belarus","2009","3614.5","","1000 tonnes"
"Belarus","2008","3410.5","","1000 tonnes"
"Belarus","2007","3220.39990234375","","1000 tonnes"
"Belarus","2006","3049.10009765625","","1000 tonnes"
"Belarus","2005","2811.5","","1000 tonnes"
"Belarus","2004","2661.30004882813","","1000 tonnes"
"Belarus","2003","2432","","1000 tonnes"
"Belarus","2002","2058.89990234375","","1000 tonnes"
"Belarus","2001","1933","","1000 tonnes"
"Belarus","2000","1957.40002441406","","1000 tonnes"
"Belarus","1995","1780.90002441406","","1000 tonnes"
"Belarus","1990","1970","","1000 tonnes"
"Belgium","2014","4886","","1000 tonnes"
"Belgium","2013","4892","","1000 tonnes"
"Belgium","2012","4970","","1000 tonnes"
"Belgium","2011","5035","","1000 tonnes"
"Belgium","2010","4973","","1000 tonnes"
"Belgium","2009","5037","","1000 tonnes"
"Belgium","2008","5134","","1000 tonnes"
"Belgium","2007","5243","","1000 tonnes"
"Belgium","2006","5115","","1000 tonnes"
"Belgium","2005","5052","","1000 tonnes"
"Belgium","2004","5059","","1000 tonnes"
"Belgium","2003","4824","","1000 tonnes"
"Belgium","2002","4981","","1000 tonnes"
"Belgium","2001","4802","","1000 tonnes"
"Belgium","2000","4830","","1000 tonnes"
"Belgium","1999","4702","","1000 tonnes"
"Belgium","1998","4603","","1000 tonnes"
"Belgium","1997","4650","","1000 tonnes"
"Belgium","1996","4567","","1000 tonnes"
"Belgium","1995","4613","","1000 tonnes"
"Belgium","1990","3436","","1000 tonnes"
"Belize","2000","69.3570022583008","","1000 tonnes"
"Belize","1997","38.0999984741211","","1000 tonnes"
"Bermuda","2012","82","","1000 tonnes"
"Bermuda","2011","81","","1000 tonnes"
"Bermuda","2010","90.5800018310547","","1000 tonnes"
"Bermuda","2009","90.4899978637695","","1000 tonnes"
"Bermuda","2008","94.5699996948242","","1000 tonnes"
"Bermuda","2007","95.3919982910156","","1000 tonnes"
"Bermuda","2006","94.3000030517578","","1000 tonnes"
"Bermuda","2005","93.3000030517578","","1000 tonnes"
"Bermuda","2004","99.3000030517578","","1000 tonnes"
"Bermuda","2003","98.4300003051758","","1000 tonnes"
"Bermuda","2002","94.379997253418","","1000 tonnes"
"Bermuda","2001","91.3000030517578","","1000 tonnes"
"Bhutan","2012","50.0516090393066","7","1000 tonnes"
"Bolivia (Plurinational State of)","2015","1396.89599609375","8","1000 tonnes"
"Bolivia (Plurinational State of)","2014","1303.99194335938","8","1000 tonnes"
"Bolivia (Plurinational State of)","2013","1231.14453125","9","1000 tonnes"
"Bolivia (Plurinational State of)","2012","1099.7158203125","10","1000 tonnes"
"Bolivia (Plurinational State of)","2011","1058.68115234375","10","1000 tonnes"
"Bolivia (Plurinational State of)","2010","1040.48425292969","10","1000 tonnes"
"Bolivia (Plurinational State of)","2009","995.944702148438","10","1000 tonnes"
"Bolivia (Plurinational State of)","2008","913.962707519531","10","1000 tonnes"
"Bolivia (Plurinational State of)","2007","887.813720703125","10","1000 tonnes"
"Bolivia (Plurinational State of)","2006","850.731018066406","10","1000 tonnes"
"Bolivia (Plurinational State of)","2005","785.653137207031","10","1000 tonnes"
"Bolivia (Plurinational State of)","2004","805.090576171875","10","1000 tonnes"
"Bolivia (Plurinational State of)","2003","809.167175292969","10","1000 tonnes"
"Bolivia (Plurinational State of)","2002","661.511657714844","11","1000 tonnes"
"Bolivia (Plurinational State of)","2001","685.73974609375","11","1000 tonnes"
"Bolivia (Plurinational State of)","2000","612.715026855469","11","1000 tonnes"
"Bolivia (Plurinational State of)","1999","508.820007324219","11","1000 tonnes"
"Bosnia and Herzegovina","2015","924.051025390625","","1000 tonnes"
"Bosnia and Herzegovina","2014","989.546020507813","","1000 tonnes"
"Bosnia and Herzegovina","2013","882.049011230469","","1000 tonnes"
"Bosnia and Herzegovina","2012","964.120971679688","","1000 tonnes"
"Bosnia and Herzegovina","2011","1027.00598144531","","1000 tonnes"
"Bosnia and Herzegovina","2010","1057.76794433594","","1000 tonnes"
"Bosnia and Herzegovina","2009","1260.06005859375","","1000 tonnes"
"Bosnia and Herzegovina","2008","1367.08996582031","","1000 tonnes"
"Brazil","2012","57900","","1000 tonnes"
"Brazil","2011","55300","","1000 tonnes"
"Brazil","2010","53000","","1000 tonnes"
"Brazil","2009","53000","","1000 tonnes"
"Brazil","2007","51432","","1000 tonnes"
"Brazil","2005","60142","","1000 tonnes"
"Brazil","2004","59214","","1000 tonnes"
"Brazil","2003","57587","","1000 tonnes"
"Brazil","2002","56524","","1000 tonnes"
"Brazil","2001","55677","","1000 tonnes"
"Brazil","2000","57563","","1000 tonnes"
"British Virgin Islands","2005","36.6969985961914","","1000 tonnes"
"British Virgin Islands","2004","33.0330009460449","","1000 tonnes"
"British Virgin Islands","2003","23.6299991607666","","1000 tonnes"
"British Virgin Islands","2002","24.9360008239746","","1000 tonnes"
"British Virgin Islands","2001","29.8600006103516","","1000 tonnes"
"British Virgin Islands","2000","28.5599994659424","","1000 tonnes"
"British Virgin Islands","1999","25.7000007629395","","1000 tonnes"
"British Virgin Islands","1995","11.1599998474121","","1000 tonnes"
"Brunei Darussalam","2002","196.251998901367","","1000 tonnes"
"Brunei Darussalam","2001","197.186004638672","","1000 tonnes"
"Brunei Darussalam","2000","191.753005981445","","1000 tonnes"
"Brunei Darussalam","1999","517.275024414063","","1000 tonnes"
"Brunei Darussalam","1998","212.412994384766","","1000 tonnes"
"Brunei Darussalam","1997","137.97200012207","","1000 tonnes"
"Brunei Darussalam","1990","62.568000793457","","1000 tonnes"
"Bulgaria","2014","3192","","1000 tonnes"
"Bulgaria","2013","3135","","1000 tonnes"
"Bulgaria","2012","3364","","1000 tonnes"
"Bulgaria","2011","3732","","1000 tonnes"
"Bulgaria","2010","4094","","1000 tonnes"
"Bulgaria","2009","4449","","1000 tonnes"
"Bulgaria","2008","4486","","1000 tonnes"
"Bulgaria","2007","4172","","1000 tonnes"
"Bulgaria","2006","4387","","1000 tonnes"
"Bulgaria","2005","4502","","1000 tonnes"
"Bulgaria","2004","4619","","1000 tonnes"
"Bulgaria","2003","4690","","1000 tonnes"
"Bulgaria","2002","4715","","1000 tonnes"
"Bulgaria","2001","4773","","1000 tonnes"
"Bulgaria","2000","4998","","1000 tonnes"
"Bulgaria","1999","4910","","1000 tonnes"
"Bulgaria","1998","4880","","1000 tonnes"
"Bulgaria","1997","4809","","1000 tonnes"
"Bulgaria","1996","5165","","1000 tonnes"
"Bulgaria","1995","5838","","1000 tonnes"
"Burkina Faso","2009","666.180969238281","12","1000 tonnes"
"Burkina Faso","2008","624.356689453125","12","1000 tonnes"
"Burkina Faso","2007","586.081176757813","12","1000 tonnes"
"Burkina Faso","2006","551.05419921875","12","1000 tonnes"
"Burkina Faso","2005","519.01220703125","12","1000 tonnes"
"Burkina Faso","2004","469.735992431641","12","1000 tonnes"
"Burkina Faso","2003","428.180358886719","12","1000 tonnes"
"Burkina Faso","2002","396.949554443359","12","1000 tonnes"
"Burkina Faso","2001","368.244720458984","12","1000 tonnes"
"Burkina Faso","2000","341.850860595703","12","1000 tonnes"
"Burkina Faso","1999","317.571807861328","12","1000 tonnes"
"Burkina Faso","1998","295.228546142578","12","1000 tonnes"
"Burkina Faso","1997","274.657562255859","12","1000 tonnes"
"Burkina Faso","1996","245.525390625","12","1000 tonnes"
"Burundi","2011","39","","1000 tonnes"
"Burundi","2010","7.19999980926514","","1000 tonnes"
"Burundi","2009","13.8000001907349","","1000 tonnes"
"Burundi","2008","15.6000003814697","","1000 tonnes"
"Burundi","2007","10.8000001907349","","1000 tonnes"
"Burundi","2006","13.8000001907349","","1000 tonnes"
"Burundi","2005","13.1999998092651","","1000 tonnes"
"Burundi","2004","18.2000007629395","","1000 tonnes"
"Burundi","2003","18.2000007629395","","1000 tonnes"
"Burundi","2002","22.8999996185303","","1000 tonnes"
"Burundi","2001","13.1000003814697","","1000 tonnes"
"Cabo Verde","2015","145.893997192383","13","1000 tonnes"
"Cabo Verde","2013","144.953399658203","","1000 tonnes"
"Cabo Verde","2012","147.928604125977","","1000 tonnes"
"Cabo Verde","2010","113.397003173828","14","1000 tonnes"
"Cabo Verde","2009","104.813003540039","14","1000 tonnes"
"Cabo Verde","2008","97.2750015258789","14","1000 tonnes"
"Cabo Verde","2007","90.2330017089844","14","1000 tonnes"
"Cabo Verde","2006","83.6490020751953","14","1000 tonnes"
"Cabo Verde","2005","77.4980010986328","14","1000 tonnes"
"Cabo Verde","2004","71.7529983520508","14","1000 tonnes"
"Cabo Verde","2003","66.3860015869141","","1000 tonnes"
"Cambodia","2012","461","","1000 tonnes"
"Cambodia","2011","408","","1000 tonnes"
"Cambodia","2010","383","","1000 tonnes"
"Cambodia","2009","355","","1000 tonnes"
"Cameroon","2009","7249.1767578125","","1000 tonnes"
"Cameroon","2008","6489.0791015625","","1000 tonnes"
"Cameroon","2007","3707.74096679688","","1000 tonnes"
"Cameroon","2006","3688.73291015625","","1000 tonnes"
"Chile","2011","6142.39990234375","15","1000 tonnes"
"Chile","2010","5935.7001953125","15","1000 tonnes"
"Chile","2009","5779.5","15","1000 tonnes"
"Chile","2008","5608","15","1000 tonnes"
"Chile","2007","5492.89990234375","15","1000 tonnes"
"Chile","2006","5310.89990234375","15","1000 tonnes"
"Chile","2005","5113.7001953125","15","1000 tonnes"
"Chile","2004","4964.10009765625","15","1000 tonnes"
"Chile","2003","4802.2998046875","15","1000 tonnes"
"Chile","2002","4647.10009765625","15","1000 tonnes"
"Chile","2001","4514.7001953125","15","1000 tonnes"
"Chile","2000","4520.2998046875","15","1000 tonnes"
"China","2012","170809","","1000 tonnes"
"China","2011","163953","","1000 tonnes"
"China","2010","158048","","1000 tonnes"
"China","2009","157340","","1000 tonnes"
"China","2008","154380","","1000 tonnes"
"China","2007","152150","","1000 tonnes"
"China","2006","148410","","1000 tonnes"
"China","2005","155770","","1000 tonnes"
"China","2004","155090","","1000 tonnes"
"China","2003","148570","","1000 tonnes"
"China","2002","136500","","1000 tonnes"
"China","2001","134700","","1000 tonnes"
"China","2000","118190","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2009","6450","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2008","6444","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2007","6163","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2006","6228","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2005","6013","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2004","5709","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2003","5826","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2002","5399","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2001","5335","","1000 tonnes"
"China, Hong Kong Special Administrative Region","2000","5177","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1999","4924","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1998","4747","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1997","4708","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1996","4615","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1995","4843","","1000 tonnes"
"China, Hong Kong Special Administrative Region","1990","3810","","1000 tonnes"
"China, Macao Special Administrative Region","2009","325.339996337891","16","1000 tonnes"
"China, Macao Special Administrative Region","2008","299.190002441406","16","1000 tonnes"
"China, Macao Special Administrative Region","2007","289.420013427734","16","1000 tonnes"
"China, Macao Special Administrative Region","2006","287.450012207031","16","1000 tonnes"
"China, Macao Special Administrative Region","2005","279.959991455078","16","1000 tonnes"
"China, Macao Special Administrative Region","2004","257.339996337891","16","1000 tonnes"
"China, Macao Special Administrative Region","2003","250.139999389648","16","1000 tonnes"
"China, Macao Special Administrative Region","2002","244.800003051758","16","1000 tonnes"
"China, Macao Special Administrative Region","2001","233.809997558594","16","1000 tonnes"
"China, Macao Special Administrative Region","2000","230.460006713867","16","1000 tonnes"
"China, Macao Special Administrative Region","1999","225.050003051758","16","1000 tonnes"
"China, Macao Special Administrative Region","1998","221.589996337891","16","1000 tonnes"
"China, Macao Special Administrative Region","1997","217.100006103516","16","1000 tonnes"
"China, Macao Special Administrative Region","1996","198.399993896484","16","1000 tonnes"
"China, Macao Special Administrative Region","1995","185.970001220703","16","1000 tonnes"
"China, Macao Special Administrative Region","1990","84.3499984741211","16","1000 tonnes"
"Colombia","2011","8996.115234375","","1000 tonnes"
"Colombia","2010","9686.0078125","","1000 tonnes"
"Colombia","2009","8980.2021484375","","1000 tonnes"
"Colombia","2008","10661.3701171875","","1000 tonnes"
"Colombia","2007","9191.974609375","","1000 tonnes"
"Colombia","2006","7580.462890625","","1000 tonnes"
"Colombia","2005","7567.0517578125","","1000 tonnes"
"Colombia","2004","6128.48193359375","","1000 tonnes"
"Colombia","2003","5288.7939453125","","1000 tonnes"
"Costa Rica","2002","1280","","1000 tonnes"
"Croatia","2014","1637","","1000 tonnes"
"Croatia","2013","1721","","1000 tonnes"
"Croatia","2012","1670","","1000 tonnes"
"Croatia","2011","1645","","1000 tonnes"
"Croatia","2010","1630","","1000 tonnes"
"Croatia","2009","1743","","1000 tonnes"
"Croatia","2008","1788","","1000 tonnes"
"Croatia","2007","1719","","1000 tonnes"
"Croatia","2006","1654","","1000 tonnes"
"Croatia","2005","1449","17","1000 tonnes"
"Croatia","2004","1311","17","1000 tonnes"
"Croatia","2000","1173","17","1000 tonnes"
"Croatia","1997","1015","17","1000 tonnes"
"Croatia","1995","987.5419921875","","1000 tonnes"
"Cuba","2012","5331.2998046875","","1000 tonnes"
"Cuba","2011","4227.7998046875","","1000 tonnes"
"Cuba","2010","4627.5","","1000 tonnes"
"Cuba","2009","4574.39990234375","","1000 tonnes"
"Cuba","2008","5161.10009765625","","1000 tonnes"
"Cuba","2007","4360.10009765625","","1000 tonnes"
"Cuba","2006","4230.2001953125","","1000 tonnes"
"Cuba","2005","4450.60009765625","","1000 tonnes"
"Cuba","2004","4128.7001953125","","1000 tonnes"
"Cuba","2003","4088.10009765625","","1000 tonnes"
"Cuba","2002","3905","","1000 tonnes"
"Cuba","2001","3739.89990234375","","1000 tonnes"
"Cuba","2000","3420","","1000 tonnes"
"Cuba","1999","3250","","1000 tonnes"
"Cyprus","2014","526","17","1000 tonnes"
"Cyprus","2013","533","","1000 tonnes"
"Cyprus","2012","568","","1000 tonnes"
"Cyprus","2011","572","","1000 tonnes"
"Cyprus","2010","571","","1000 tonnes"
"Cyprus","2009","589","","1000 tonnes"
"Cyprus","2008","573","","1000 tonnes"
"Cyprus","2007","540","","1000 tonnes"
"Cyprus","2006","521","","1000 tonnes"
"Cyprus","2005","508","","1000 tonnes"
"Cyprus","2004","498","","1000 tonnes"
"Cyprus","2003","481","","1000 tonnes"
"Cyprus","2002","465","","1000 tonnes"
"Cyprus","2001","456","","1000 tonnes"
"Cyprus","2000","436","","1000 tonnes"
"Cyprus","1999","426","","1000 tonnes"
"Cyprus","1998","418","","1000 tonnes"
